word,amount,list,trialtype,trialtype_extended,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,choice,participant,listOrder,frameRate,expName,date,listMethod,
word8.1,-1.5,list8,pitch,pitch_lower_small,0,0,0,0,other,hhh,"[u'1', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9']",59.890993156,source_monitoring,2015_Feb_05_1422,set your own,
word9.1,-1.5,list9,pitch,pitch_lower_large,0,1,1,1,other,hhh,"[u'1', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9']",59.890993156,source_monitoring,2015_Feb_05_1422,set your own,
word2.1,unmodified,list2,unmodified,unmodified,0,2,2,2,self,hhh,"[u'1', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9']",59.890993156,source_monitoring,2015_Feb_05_1422,set your own,
word7.1,2,list7,pitch,pitch_higher_large,0,3,3,3,other,hhh,"[u'1', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9']",59.890993156,source_monitoring,2015_Feb_05_1422,set your own,
word5.1,0.7,list5,speed,slow_large,0,4,4,4,other,hhh,"[u'1', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9']",59.890993156,source_monitoring,2015_Feb_05_1422,set your own,
word6.1,1.5,list6,pitch,pitch_higher_small,0,5,5,5,other,hhh,"[u'1', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9']",59.890993156,source_monitoring,2015_Feb_05_1422,set your own,
word1.1,unmodified,list1,unmodified,unmodified,0,6,6,6,self,hhh,"[u'1', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9']",59.890993156,source_monitoring,2015_Feb_05_1422,set your own,
word3.1,0.9,list3,speed,slow_small,0,7,7,7,other,hhh,"[u'1', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9']",59.890993156,source_monitoring,2015_Feb_05_1422,set your own,
word4.1,0.8,list4,speed,slow_medium,0,8,8,8,other,hhh,"[u'1', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9']",59.890993156,source_monitoring,2015_Feb_05_1422,set your own,
