word,amount,list,trialtype,trialtype_extended,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,choice,participant,listOrder,frameRate,expName,date,listMethod,
word1.1,0.9,list1,speed,slow_small,0,0,0,0,self,ok,"[u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'8']",59.8870595358,source_monitoring,2015_Feb_05_1358,set your own,
word1.1,1.5,list1,pitch,pitch_higher_small,0,1,1,1,self,ok,"[u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'8']",59.8870595358,source_monitoring,2015_Feb_05_1358,set your own,
word1.1,2,list1,pitch,pitch_higher_large,0,2,2,2,self,ok,"[u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'8']",59.8870595358,source_monitoring,2015_Feb_05_1358,set your own,
word8.1,-1.5,list8,pitch,pitch_lower_large,0,3,3,3,other,ok,"[u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'8']",59.8870595358,source_monitoring,2015_Feb_05_1358,set your own,
word1.1,0.8,list1,speed,slow_medium,0,4,4,4,self,ok,"[u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'8']",59.8870595358,source_monitoring,2015_Feb_05_1358,set your own,
word1.1,unmodified,list1,unmodified,unmodified,0,5,5,5,other,ok,"[u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'8']",59.8870595358,source_monitoring,2015_Feb_05_1358,set your own,
word1.1,0.7,list1,speed,slow_large,0,6,6,6,self,ok,"[u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'8']",59.8870595358,source_monitoring,2015_Feb_05_1358,set your own,
word1.1,-1.5,list1,pitch,pitch_lower_small,0,7,7,7,self,ok,"[u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'8']",59.8870595358,source_monitoring,2015_Feb_05_1358,set your own,
word1.1,unmodified,list1,unmodified,unmodified,0,8,8,8,other,ok,"[u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'8']",59.8870595358,source_monitoring,2015_Feb_05_1358,set your own,
