0.2821 	WARNING 	Movie2 stim could not be imported and won't be available
5.1727 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([-1., -1., -1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xd1b59b8>, name='window1', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.1728 	EXP 	window1: recordFrameIntervals = False
5.3384 	EXP 	window1: recordFrameIntervals = True
5.5226 	EXP 	window1: recordFrameIntervals = False
5.6156 	EXP 	Created text_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_4', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Instructions will go here.', units=u'norm', win=Window(...), wrapWidth=1)
6.6507 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
6.6623 	EXP 	Created question = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='question', opacity=1.0, ori=0, pos=array([ 0. ,  0.5]), rgb=array([ 255.,  255.,  255.]), text=u'Whose voice did you hear?', units=u'norm', win=Window(...), wrapWidth=2)
6.6628 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x5f6130>: vertices = array([[-0.25,  0.25],
       [ 0.25,  0.25],
       [ 0.25, -0.25],
       [-0.25, -0.25]])
6.6649 	EXP 	Created self_box = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor='#A6A9FF', fillColorSpace='hex', fillRGB=array([166, 169, 255]), interpolate=True, lineColor='#3E45FA', lineColorSpace='hex', lineRGB=array([ 62,  69, 250]), lineWidth=5, name='self_box', opacity=1.0, ori=array(0.0), pos=array([-0.5, -0.5]), size=array([ 1.,  1.]), units=u'norm', vertices=ndarray(...), win=Window(...))
6.6696 	EXP 	Created self_label = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='self_label', opacity=1.0, ori=0, pos=array([-0.5, -0.5]), rgb=array([ 0.,  0.,  0.]), text=u'Mine', units=u'norm', win=Window(...), wrapWidth=1)
6.6701 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x5f6130>: vertices = array([[-0.25,  0.25],
       [ 0.25,  0.25],
       [ 0.25, -0.25],
       [-0.25, -0.25]])
6.6736 	EXP 	Created other_box = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor='#FFFCA6', fillColorSpace='hex', fillRGB=array([255, 252, 166]), interpolate=True, lineColor='#FAF33E', lineColorSpace='hex', lineRGB=array([250, 243,  62]), lineWidth=5, name='other_box', opacity=1.0, ori=array(0.0), pos=array([ 0.5, -0.5]), size=array([ 1.,  1.]), units=u'norm', vertices=ndarray(...), win=Window(...))
6.6835 	EXP 	Created other_label = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='other_label', opacity=1.0, ori=0, pos=array([ 0.5, -0.5]), rgb=array([ 0.,  0.,  0.]), text=u'Other', units=u'norm', win=Window(...), wrapWidth=1)
6.6961 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Thank you for participating!', units=u'norm', win=Window(...), wrapWidth=1)
6.7073 	EXP 	text_4: autoDraw = True
11.7017 	EXP 	Imported /Volumes/Macintosh HD/Users/poppe076/Desktop/source_monitoring_task/data/ok_source_monitoring_2015_Feb_05_1319_wordlist.csv as conditions, 9 conditions, 5 params
11.7026 	EXP 	Created sequence: sequential, trialTypes=9, nReps=1, seed=None
11.7041 	EXP 	New trial (rep=0, index=0): {'word': u'word2.1', 'amount': u'unmodified', 'list': u'list2', 'trialtype': u'unmodified', 'trialtype_extended': u'unmodified'}
11.7320 	EXP 	text_4: autoDraw = False
11.7320 	EXP 	text: text = u'word2.1'
12.7337 	EXP 	text: autoDraw = True
14.9705 	EXP 	text: autoDraw = False
14.9705 	EXP 	question: autoDraw = True
14.9705 	EXP 	self_box: autoDraw = True
14.9705 	EXP 	self_label: autoDraw = True
14.9705 	EXP 	other_box: autoDraw = True
14.9705 	EXP 	other_label: autoDraw = True
14.9705 	EXP 	self_box: fillColor = '#A6A9FF'
14.9705 	EXP 	other_box: fillColor = '#FFFCA6'
14.9872 	EXP 	self_box: fillColor = '#A6A9FF'
14.9872 	EXP 	other_box: fillColor = '#FFFCA6'
15.0039 	EXP 	self_box: fillColor = '#A6A9FF'
15.0039 	EXP 	other_box: fillColor = '#FFFCA6'
15.0205 	EXP 	self_box: fillColor = '#A6A9FF'
15.0205 	EXP 	other_box: fillColor = '#FFFCA6'
15.0371 	EXP 	self_box: fillColor = '#A6A9FF'
15.0371 	EXP 	other_box: fillColor = '#FFFCA6'
15.0539 	EXP 	self_box: fillColor = '#A6A9FF'
15.0539 	EXP 	other_box: fillColor = '#FFFCA6'
15.0706 	EXP 	self_box: fillColor = '#A6A9FF'
15.0706 	EXP 	other_box: fillColor = '#FFFCA6'
15.0873 	EXP 	self_box: fillColor = '#A6A9FF'
15.0873 	EXP 	other_box: fillColor = '#FFFCA6'
15.1040 	EXP 	self_box: fillColor = '#A6A9FF'
15.1040 	EXP 	other_box: fillColor = '#FFFCA6'
15.1207 	EXP 	self_box: fillColor = '#A6A9FF'
15.1207 	EXP 	other_box: fillColor = '#FFFCA6'
15.1374 	EXP 	self_box: fillColor = '#A6A9FF'
15.1374 	EXP 	other_box: fillColor = '#FFFCA6'
15.1540 	EXP 	self_box: fillColor = '#A6A9FF'
15.1540 	EXP 	other_box: fillColor = '#FFFCA6'
15.1708 	EXP 	self_box: fillColor = '#A6A9FF'
15.1708 	EXP 	other_box: fillColor = '#FFFCA6'
15.1876 	EXP 	self_box: fillColor = '#A6A9FF'
15.1876 	EXP 	other_box: fillColor = '#FFFCA6'
15.2043 	EXP 	self_box: fillColor = '#A6A9FF'
15.2043 	EXP 	other_box: fillColor = '#FFFCA6'
15.2208 	EXP 	self_box: fillColor = '#A6A9FF'
15.2208 	EXP 	other_box: fillColor = '#FFFCA6'
15.2376 	EXP 	self_box: fillColor = '#A6A9FF'
15.2376 	EXP 	other_box: fillColor = '#FFFCA6'
15.2542 	EXP 	self_box: fillColor = '#A6A9FF'
15.2542 	EXP 	other_box: fillColor = '#FFFCA6'
15.2710 	EXP 	self_box: fillColor = '#A6A9FF'
15.2710 	EXP 	other_box: fillColor = '#FFFCA6'
15.2877 	EXP 	self_box: fillColor = '#A6A9FF'
15.2877 	EXP 	other_box: fillColor = '#FFFCA6'
15.3043 	EXP 	self_box: fillColor = '#A6A9FF'
15.3043 	EXP 	other_box: fillColor = '#FFFCA6'
15.3210 	EXP 	self_box: fillColor = '#A6A9FF'
15.3210 	EXP 	other_box: fillColor = '#FFFCA6'
15.3377 	EXP 	self_box: fillColor = '#A6A9FF'
15.3377 	EXP 	other_box: fillColor = '#FFFCA6'
15.3545 	EXP 	self_box: fillColor = '#A6A9FF'
15.3545 	EXP 	other_box: fillColor = '#FFFCA6'
15.3711 	EXP 	self_box: fillColor = '#A6A9FF'
15.3711 	EXP 	other_box: fillColor = '#FFFCA6'
15.3878 	EXP 	self_box: fillColor = '#A6A9FF'
15.3878 	EXP 	other_box: fillColor = '#FFFCA6'
15.4046 	EXP 	self_box: fillColor = '#A6A9FF'
15.4046 	EXP 	other_box: fillColor = '#FFFCA6'
15.4212 	EXP 	self_box: fillColor = '#A6A9FF'
15.4212 	EXP 	other_box: fillColor = '#FFFCA6'
15.4380 	EXP 	self_box: fillColor = '#A6A9FF'
15.4380 	EXP 	other_box: fillColor = '#FFFCA6'
15.4545 	EXP 	self_box: fillColor = '#A6A9FF'
15.4545 	EXP 	other_box: fillColor = '#FFFCA6'
15.4712 	EXP 	self_box: fillColor = '#A6A9FF'
15.4712 	EXP 	other_box: fillColor = '#FFFCA6'
15.4880 	EXP 	self_box: fillColor = '#A6A9FF'
15.4880 	EXP 	other_box: fillColor = '#FFFCA6'
15.5047 	EXP 	self_box: fillColor = '#A6A9FF'
15.5047 	EXP 	other_box: fillColor = '#FFFCA6'
15.5214 	EXP 	self_box: fillColor = '#A6A9FF'
15.5214 	EXP 	other_box: fillColor = '#FFFCA6'
15.5381 	EXP 	self_box: fillColor = '#A6A9FF'
15.5381 	EXP 	other_box: fillColor = '#FFFCA6'
15.5548 	EXP 	self_box: fillColor = '#A6A9FF'
15.5548 	EXP 	other_box: fillColor = '#FFFCA6'
15.5713 	EXP 	self_box: fillColor = '#A6A9FF'
15.5713 	EXP 	other_box: fillColor = '#FFFCA6'
15.5881 	EXP 	self_box: fillColor = '#A6A9FF'
15.5881 	EXP 	other_box: fillColor = '#FFFCA6'
15.6049 	EXP 	self_box: fillColor = '#A6A9FF'
15.6049 	EXP 	other_box: fillColor = '#FFFCA6'
15.6216 	EXP 	self_box: fillColor = '#A6A9FF'
15.6216 	EXP 	other_box: fillColor = '#FFFCA6'
15.6382 	EXP 	self_box: fillColor = '#A6A9FF'
15.6382 	EXP 	other_box: fillColor = '#FFFCA6'
15.6550 	EXP 	self_box: fillColor = '#A6A9FF'
15.6550 	EXP 	other_box: fillColor = '#FFFCA6'
15.6716 	EXP 	self_box: fillColor = '#A6A9FF'
15.6716 	EXP 	other_box: fillColor = '#FFFCA6'
15.6882 	EXP 	self_box: fillColor = '#A6A9FF'
15.6882 	EXP 	other_box: fillColor = '#FFFCA6'
15.7050 	EXP 	self_box: fillColor = '#A6A9FF'
15.7050 	EXP 	other_box: fillColor = '#FFFCA6'
15.7216 	EXP 	self_box: fillColor = '#A6A9FF'
15.7216 	EXP 	other_box: fillColor = '#FFFCA6'
15.7385 	EXP 	self_box: fillColor = '#A6A9FF'
15.7385 	EXP 	other_box: fillColor = '#FFFCA6'
15.7550 	EXP 	self_box: fillColor = '#A6A9FF'
15.7550 	EXP 	other_box: fillColor = '#FFFCA6'
15.7718 	EXP 	self_box: fillColor = '#A6A9FF'
15.7718 	EXP 	other_box: fillColor = '#FFFCA6'
15.7885 	EXP 	self_box: fillColor = '#A6A9FF'
15.7885 	EXP 	other_box: fillColor = '#FFFCA6'
15.8050 	EXP 	self_box: fillColor = '#A6A9FF'
15.8050 	EXP 	other_box: fillColor = '#FFFCA6'
15.8217 	EXP 	self_box: fillColor = '#3E45FA'
15.8217 	EXP 	other_box: fillColor = '#FFFCA6'
15.8385 	EXP 	self_box: fillColor = '#3E45FA'
15.8385 	EXP 	other_box: fillColor = '#FFFCA6'
15.8551 	EXP 	self_box: fillColor = '#3E45FA'
15.8551 	EXP 	other_box: fillColor = '#FFFCA6'
15.8719 	EXP 	self_box: fillColor = '#3E45FA'
15.8719 	EXP 	other_box: fillColor = '#FFFCA6'
15.8885 	EXP 	self_box: fillColor = '#3E45FA'
15.8885 	EXP 	other_box: fillColor = '#FFFCA6'
15.9053 	EXP 	self_box: fillColor = '#3E45FA'
15.9053 	EXP 	other_box: fillColor = '#FFFCA6'
15.9220 	EXP 	self_box: fillColor = '#3E45FA'
15.9220 	EXP 	other_box: fillColor = '#FFFCA6'
15.9385 	EXP 	self_box: fillColor = '#3E45FA'
15.9385 	EXP 	other_box: fillColor = '#FFFCA6'
15.9554 	EXP 	self_box: fillColor = '#3E45FA'
15.9554 	EXP 	other_box: fillColor = '#FFFCA6'
15.9720 	EXP 	self_box: fillColor = '#3E45FA'
15.9720 	EXP 	other_box: fillColor = '#FFFCA6'
15.9886 	EXP 	self_box: fillColor = '#3E45FA'
15.9886 	EXP 	other_box: fillColor = '#FFFCA6'
16.0053 	EXP 	self_box: fillColor = '#3E45FA'
16.0053 	EXP 	other_box: fillColor = '#FFFCA6'
16.0221 	EXP 	self_box: fillColor = '#3E45FA'
16.0221 	EXP 	other_box: fillColor = '#FFFCA6'
16.0389 	EXP 	self_box: fillColor = '#3E45FA'
16.0389 	EXP 	other_box: fillColor = '#FFFCA6'
16.0555 	EXP 	self_box: fillColor = '#3E45FA'
16.0555 	EXP 	other_box: fillColor = '#FFFCA6'
16.0722 	EXP 	self_box: fillColor = '#3E45FA'
16.0722 	EXP 	other_box: fillColor = '#FFFCA6'
16.0887 	EXP 	self_box: fillColor = '#3E45FA'
16.0887 	EXP 	other_box: fillColor = '#FFFCA6'
16.1055 	EXP 	self_box: fillColor = '#3E45FA'
16.1055 	EXP 	other_box: fillColor = '#FFFCA6'
16.1099 	DATA 	Mouse: Left button down, pos=(433,238)
16.1222 	EXP 	self_box: fillColor = '#3E45FA'
16.1222 	EXP 	other_box: fillColor = '#FFFCA6'
16.1237 	EXP 	New trial (rep=0, index=1): {'word': u'word7.1', 'amount': u'-1.5', 'list': u'list7', 'trialtype': u'pitch', 'trialtype_extended': u'pitch_lower_large'}
16.1388 	EXP 	self_box: fillColor = '#3E45FA'
16.1388 	EXP 	other_box: fillColor = '#FFFCA6'
16.1388 	EXP 	question: autoDraw = False
16.1388 	EXP 	self_box: autoDraw = False
16.1388 	EXP 	self_label: autoDraw = False
16.1388 	EXP 	other_box: autoDraw = False
16.1388 	EXP 	other_label: autoDraw = False
16.1388 	EXP 	text: text = u'word7.1'
16.1730 	DATA 	Mouse: Left button up, pos=(433,238)
17.1405 	EXP 	text: autoDraw = True
20.2122 	EXP 	text: autoDraw = False
20.2122 	EXP 	question: autoDraw = True
20.2122 	EXP 	self_box: autoDraw = True
20.2122 	EXP 	self_label: autoDraw = True
20.2122 	EXP 	other_box: autoDraw = True
20.2122 	EXP 	other_label: autoDraw = True
20.2122 	EXP 	self_box: fillColor = '#A6A9FF'
20.2122 	EXP 	other_box: fillColor = '#FFFCA6'
20.2289 	EXP 	self_box: fillColor = '#A6A9FF'
20.2289 	EXP 	other_box: fillColor = '#FFFCA6'
20.2456 	EXP 	self_box: fillColor = '#A6A9FF'
20.2456 	EXP 	other_box: fillColor = '#FFFCA6'
20.2622 	EXP 	self_box: fillColor = '#A6A9FF'
20.2622 	EXP 	other_box: fillColor = '#FFFCA6'
20.2790 	EXP 	self_box: fillColor = '#A6A9FF'
20.2790 	EXP 	other_box: fillColor = '#FFFCA6'
20.2955 	EXP 	self_box: fillColor = '#A6A9FF'
20.2955 	EXP 	other_box: fillColor = '#FFFCA6'
20.3123 	EXP 	self_box: fillColor = '#A6A9FF'
20.3123 	EXP 	other_box: fillColor = '#FFFCA6'
20.3290 	EXP 	self_box: fillColor = '#A6A9FF'
20.3290 	EXP 	other_box: fillColor = '#FFFCA6'
20.3457 	EXP 	self_box: fillColor = '#A6A9FF'
20.3457 	EXP 	other_box: fillColor = '#FFFCA6'
20.3624 	EXP 	self_box: fillColor = '#A6A9FF'
20.3624 	EXP 	other_box: fillColor = '#FFFCA6'
20.3791 	EXP 	self_box: fillColor = '#A6A9FF'
20.3791 	EXP 	other_box: fillColor = '#FFFCA6'
20.3958 	EXP 	self_box: fillColor = '#A6A9FF'
20.3958 	EXP 	other_box: fillColor = '#FFFCA6'
