word,amount,list,trialtype,trialtype_extended,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,choice,participant,listOrder,frameRate,expName,date,listMethod,
word2.1,-1.5,list2,pitch,pitch_lower_large,0,0,0,0,self,ok,"[u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'1']",59.9276177141,source_monitoring,2015_Feb_05_1353,set your own,
word2.1,unmodified,list2,unmodified,unmodified,0,1,1,1,self,ok,"[u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'1']",59.9276177141,source_monitoring,2015_Feb_05_1353,set your own,
word2.1,2,list2,pitch,pitch_higher_large,0,2,2,2,self,ok,"[u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'1']",59.9276177141,source_monitoring,2015_Feb_05_1353,set your own,
word2.1,0.9,list2,speed,slow_small,0,3,3,3,self,ok,"[u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'1']",59.9276177141,source_monitoring,2015_Feb_05_1353,set your own,
word2.1,-1.5,list2,pitch,pitch_lower_small,0,4,4,4,self,ok,"[u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'1']",59.9276177141,source_monitoring,2015_Feb_05_1353,set your own,
word2.1,0.7,list2,speed,slow_large,0,5,5,5,self,ok,"[u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'1']",59.9276177141,source_monitoring,2015_Feb_05_1353,set your own,
word2.1,0.8,list2,speed,slow_medium,0,6,6,6,self,ok,"[u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'1']",59.9276177141,source_monitoring,2015_Feb_05_1353,set your own,
word2.1,unmodified,list2,unmodified,unmodified,0,7,7,7,self,ok,"[u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'1']",59.9276177141,source_monitoring,2015_Feb_05_1353,set your own,
word2.1,1.5,list2,pitch,pitch_higher_small,0,8,8,8,self,ok,"[u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'1', u'1']",59.9276177141,source_monitoring,2015_Feb_05_1353,set your own,
