0.5250 	WARNING 	Movie2 stim could not be imported and won't be available
5.1387 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([-1., -1., -1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xc8b59b8>, name='window1', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.1387 	EXP 	window1: recordFrameIntervals = False
5.3044 	EXP 	window1: recordFrameIntervals = True
5.4883 	EXP 	window1: recordFrameIntervals = False
5.5948 	EXP 	Created text_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_4', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Instructions will go here.', units=u'norm', win=Window(...), wrapWidth=1)
6.6408 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
6.6529 	EXP 	Created question = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='question', opacity=1.0, ori=0, pos=array([ 0. ,  0.5]), rgb=array([ 255.,  255.,  255.]), text=u'Whose voice did you hear?', units=u'norm', win=Window(...), wrapWidth=2)
6.6535 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x4030f90>: vertices = array([[-0.25,  0.25],
       [ 0.25,  0.25],
       [ 0.25, -0.25],
       [-0.25, -0.25]])
6.6558 	EXP 	Created self_box = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor='#A6A9FF', fillColorSpace='hex', fillRGB=array([166, 169, 255]), interpolate=True, lineColor='#3E45FA', lineColorSpace='hex', lineRGB=array([ 62,  69, 250]), lineWidth=5, name='self_box', opacity=1.0, ori=array(0.0), pos=array([-0.5, -0.5]), size=array([ 1.,  1.]), units=u'norm', vertices=ndarray(...), win=Window(...))
6.6610 	EXP 	Created self_label = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='self_label', opacity=1.0, ori=0, pos=array([-0.5, -0.5]), rgb=array([ 0.,  0.,  0.]), text=u'Mine', units=u'norm', win=Window(...), wrapWidth=1)
6.6616 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x4030f90>: vertices = array([[-0.25,  0.25],
       [ 0.25,  0.25],
       [ 0.25, -0.25],
       [-0.25, -0.25]])
6.6638 	EXP 	Created other_box = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor='#FFFCA6', fillColorSpace='hex', fillRGB=array([255, 252, 166]), interpolate=True, lineColor='#FAF33E', lineColorSpace='hex', lineRGB=array([250, 243,  62]), lineWidth=5, name='other_box', opacity=1.0, ori=array(0.0), pos=array([ 0.5, -0.5]), size=array([ 1.,  1.]), units=u'norm', vertices=ndarray(...), win=Window(...))
6.6699 	EXP 	Created other_label = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='other_label', opacity=1.0, ori=0, pos=array([ 0.5, -0.5]), rgb=array([ 0.,  0.,  0.]), text=u'Other', units=u'norm', win=Window(...), wrapWidth=1)
6.6859 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Thank you for participating!', units=u'norm', win=Window(...), wrapWidth=1)
6.7067 	EXP 	text_4: autoDraw = True
11.6827 	EXP 	Imported /Volumes/Macintosh HD/Users/poppe076/Desktop/source_monitoring_task/data/ok_source_monitoring_2015_Feb_05_1219_wordlist.csv as conditions, 9 conditions, 5 params
11.6832 	EXP 	Created sequence: sequential, trialTypes=9, nReps=1, seed=None
11.6839 	EXP 	New trial (rep=0, index=0): {'word': u'word2.1', 'amount': u'2', 'list': u'list2', 'trialtype': u'pitch', 'trialtype_extended': u'pitch_higher_large'}
11.6979 	EXP 	text_4: autoDraw = False
11.6979 	EXP 	text_4: autoDraw = False
11.6979 	EXP 	text: text = u'word2.1'
12.7163 	EXP 	text: autoDraw = True
15.2871 	EXP 	text: autoDraw = False
15.2871 	EXP 	question: autoDraw = True
15.2871 	EXP 	self_box: autoDraw = True
15.2871 	EXP 	self_label: autoDraw = True
15.2871 	EXP 	other_box: autoDraw = True
15.2871 	EXP 	other_label: autoDraw = True
15.2871 	EXP 	self_box: fillColor = '#A6A9FF'
15.2871 	EXP 	other_box: fillColor = '#FFFCA6'
15.3036 	EXP 	self_box: fillColor = '#A6A9FF'
15.3036 	EXP 	other_box: fillColor = '#FFFCA6'
15.3203 	EXP 	self_box: fillColor = '#A6A9FF'
15.3203 	EXP 	other_box: fillColor = '#FFFCA6'
15.3372 	EXP 	self_box: fillColor = '#A6A9FF'
15.3372 	EXP 	other_box: fillColor = '#FFFCA6'
15.3537 	EXP 	self_box: fillColor = '#A6A9FF'
15.3537 	EXP 	other_box: fillColor = '#FFFCA6'
15.3704 	EXP 	self_box: fillColor = '#A6A9FF'
15.3704 	EXP 	other_box: fillColor = '#FFFCA6'
15.3872 	EXP 	self_box: fillColor = '#A6A9FF'
15.3872 	EXP 	other_box: fillColor = '#FFFCA6'
15.4039 	EXP 	self_box: fillColor = '#A6A9FF'
15.4039 	EXP 	other_box: fillColor = '#FFFCA6'
15.4204 	EXP 	self_box: fillColor = '#A6A9FF'
15.4204 	EXP 	other_box: fillColor = '#FFFCA6'
15.4372 	EXP 	self_box: fillColor = '#A6A9FF'
15.4372 	EXP 	other_box: fillColor = '#FFFCA6'
15.4539 	EXP 	self_box: fillColor = '#A6A9FF'
15.4539 	EXP 	other_box: fillColor = '#FFFCA6'
15.4706 	EXP 	self_box: fillColor = '#A6A9FF'
15.4706 	EXP 	other_box: fillColor = '#FFFCA6'
15.4874 	EXP 	self_box: fillColor = '#A6A9FF'
15.4874 	EXP 	other_box: fillColor = '#FFFCA6'
15.5040 	EXP 	self_box: fillColor = '#A6A9FF'
15.5040 	EXP 	other_box: fillColor = '#FFFCA6'
15.5206 	EXP 	self_box: fillColor = '#A6A9FF'
15.5206 	EXP 	other_box: fillColor = '#FFFCA6'
15.5374 	EXP 	self_box: fillColor = '#A6A9FF'
15.5374 	EXP 	other_box: fillColor = '#FFFCA6'
15.5541 	EXP 	self_box: fillColor = '#A6A9FF'
15.5541 	EXP 	other_box: fillColor = '#FFFCA6'
15.5708 	EXP 	self_box: fillColor = '#A6A9FF'
15.5708 	EXP 	other_box: fillColor = '#FFFCA6'
15.5875 	EXP 	self_box: fillColor = '#A6A9FF'
15.5875 	EXP 	other_box: fillColor = '#FFFCA6'
15.6041 	EXP 	self_box: fillColor = '#A6A9FF'
15.6041 	EXP 	other_box: fillColor = '#FFFCA6'
15.6209 	EXP 	self_box: fillColor = '#A6A9FF'
15.6209 	EXP 	other_box: fillColor = '#FFFCA6'
15.6376 	EXP 	self_box: fillColor = '#A6A9FF'
15.6376 	EXP 	other_box: fillColor = '#FFFCA6'
15.6543 	EXP 	self_box: fillColor = '#A6A9FF'
15.6543 	EXP 	other_box: fillColor = '#FFFCA6'
15.6709 	EXP 	self_box: fillColor = '#A6A9FF'
15.6709 	EXP 	other_box: fillColor = '#FFFCA6'
15.6877 	EXP 	self_box: fillColor = '#A6A9FF'
15.6877 	EXP 	other_box: fillColor = '#FFFCA6'
15.7043 	EXP 	self_box: fillColor = '#A6A9FF'
15.7043 	EXP 	other_box: fillColor = '#FFFCA6'
15.7210 	EXP 	self_box: fillColor = '#A6A9FF'
15.7210 	EXP 	other_box: fillColor = '#FFFCA6'
15.7377 	EXP 	self_box: fillColor = '#A6A9FF'
15.7377 	EXP 	other_box: fillColor = '#FFFCA6'
15.7544 	EXP 	self_box: fillColor = '#A6A9FF'
15.7544 	EXP 	other_box: fillColor = '#FFFCA6'
15.7711 	EXP 	self_box: fillColor = '#A6A9FF'
15.7711 	EXP 	other_box: fillColor = '#FFFCA6'
15.7877 	EXP 	self_box: fillColor = '#A6A9FF'
15.7877 	EXP 	other_box: fillColor = '#FFFCA6'
15.8044 	EXP 	self_box: fillColor = '#A6A9FF'
15.8044 	EXP 	other_box: fillColor = '#FFFCA6'
15.8211 	EXP 	self_box: fillColor = '#A6A9FF'
15.8211 	EXP 	other_box: fillColor = '#FFFCA6'
15.8379 	EXP 	self_box: fillColor = '#A6A9FF'
15.8379 	EXP 	other_box: fillColor = '#FFFCA6'
15.8546 	EXP 	self_box: fillColor = '#A6A9FF'
15.8546 	EXP 	other_box: fillColor = '#FFFCA6'
15.8712 	EXP 	self_box: fillColor = '#A6A9FF'
15.8712 	EXP 	other_box: fillColor = '#FFFCA6'
15.8879 	EXP 	self_box: fillColor = '#A6A9FF'
15.8879 	EXP 	other_box: fillColor = '#FFFCA6'
15.9046 	EXP 	self_box: fillColor = '#A6A9FF'
15.9046 	EXP 	other_box: fillColor = '#FFFCA6'
15.9213 	EXP 	self_box: fillColor = '#A6A9FF'
15.9213 	EXP 	other_box: fillColor = '#FFFCA6'
15.9380 	EXP 	self_box: fillColor = '#A6A9FF'
15.9380 	EXP 	other_box: fillColor = '#FFFCA6'
15.9547 	EXP 	self_box: fillColor = '#A6A9FF'
