11.1518 	WARNING 	Movie2 stim could not be imported and won't be available
13.7115 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Thank you for participating!', units=u'norm', win=Window(...), wrapWidth=1)
13.7305 	EXP 	text_4: autoDraw = True
18.7088 	EXP 	Imported /Volumes/Macintosh HD/Users/poppe076/Desktop/source_monitoring_task/data/kkkkkk_source_monitoring_2015_Feb_05_1314_wordlist.csv as conditions, 9 conditions, 5 params
18.7098 	EXP 	Created sequence: sequential, trialTypes=9, nReps=1, seed=None
18.8152 	EXP 	New trial (rep=0, index=0): {'word': u'word3.1', 'amount': u'2', 'list': u'list3', 'trialtype': u'pitch', 'trialtype_extended': u'pitch_higher_large'}
18.8387 	EXP 	text_4: autoDraw = False
18.8387 	EXP 	text_4: autoDraw = False
18.8387 	EXP 	text: text = u'word3.1'
19.8403 	EXP 	text: autoDraw = True
22.0270 	EXP 	text: autoDraw = False
22.0270 	EXP 	question: autoDraw = True
22.0270 	EXP 	self_box: autoDraw = True
22.0270 	EXP 	self_label: autoDraw = True
22.0270 	EXP 	other_box: autoDraw = True
22.0270 	EXP 	other_label: autoDraw = True
22.0270 	EXP 	self_box: fillColor = '#A6A9FF'
22.0270 	EXP 	other_box: fillColor = '#FFFCA6'
22.0438 	EXP 	self_box: fillColor = '#A6A9FF'
22.0438 	EXP 	other_box: fillColor = '#FFFCA6'
22.0605 	EXP 	self_box: fillColor = '#A6A9FF'
22.0605 	EXP 	other_box: fillColor = '#FFFCA6'
22.0771 	EXP 	self_box: fillColor = '#A6A9FF'
22.0771 	EXP 	other_box: fillColor = '#FFFCA6'
22.0939 	EXP 	self_box: fillColor = '#A6A9FF'
22.0939 	EXP 	other_box: fillColor = '#FFFCA6'
22.1105 	EXP 	self_box: fillColor = '#A6A9FF'
22.1105 	EXP 	other_box: fillColor = '#FFFCA6'
22.1273 	EXP 	self_box: fillColor = '#A6A9FF'
22.1273 	EXP 	other_box: fillColor = '#FFFCA6'
22.1440 	EXP 	self_box: fillColor = '#A6A9FF'
22.1440 	EXP 	other_box: fillColor = '#FFFCA6'
22.1606 	EXP 	self_box: fillColor = '#A6A9FF'
22.1606 	EXP 	other_box: fillColor = '#FFFCA6'
22.1774 	EXP 	self_box: fillColor = '#A6A9FF'
22.1774 	EXP 	other_box: fillColor = '#FFFCA6'
22.1940 	EXP 	self_box: fillColor = '#A6A9FF'
22.1940 	EXP 	other_box: fillColor = '#FFFCA6'
22.2108 	EXP 	self_box: fillColor = '#A6A9FF'
22.2108 	EXP 	other_box: fillColor = '#FFFCA6'
22.2274 	EXP 	self_box: fillColor = '#A6A9FF'
22.2274 	EXP 	other_box: fillColor = '#FFFCA6'
22.2441 	EXP 	self_box: fillColor = '#A6A9FF'
22.2441 	EXP 	other_box: fillColor = '#FFFCA6'
22.2607 	EXP 	self_box: fillColor = '#A6A9FF'
22.2607 	EXP 	other_box: fillColor = '#FFFCA6'
22.2775 	EXP 	self_box: fillColor = '#A6A9FF'
22.2775 	EXP 	other_box: fillColor = '#FFFCA6'
22.2942 	EXP 	self_box: fillColor = '#A6A9FF'
22.2942 	EXP 	other_box: fillColor = '#FFFCA6'
22.3109 	EXP 	self_box: fillColor = '#A6A9FF'
22.3109 	EXP 	other_box: fillColor = '#FFFCA6'
22.3276 	EXP 	self_box: fillColor = '#A6A9FF'
22.3276 	EXP 	other_box: fillColor = '#FFFCA6'
22.3443 	EXP 	self_box: fillColor = '#A6A9FF'
22.3443 	EXP 	other_box: fillColor = '#FFFCA6'
22.3611 	EXP 	self_box: fillColor = '#A6A9FF'
22.3611 	EXP 	other_box: fillColor = '#FFFCA6'
22.3775 	EXP 	self_box: fillColor = '#A6A9FF'
22.3775 	EXP 	other_box: fillColor = '#FFFCA6'
22.3943 	EXP 	self_box: fillColor = '#A6A9FF'
22.3943 	EXP 	other_box: fillColor = '#FFFCA6'
22.4110 	EXP 	self_box: fillColor = '#A6A9FF'
22.4110 	EXP 	other_box: fillColor = '#FFFCA6'
22.4278 	EXP 	self_box: fillColor = '#A6A9FF'
22.4278 	EXP 	other_box: fillColor = '#FFFCA6'
22.4445 	EXP 	self_box: fillColor = '#A6A9FF'
22.4445 	EXP 	other_box: fillColor = '#FFFCA6'
22.4612 	EXP 	self_box: fillColor = '#A6A9FF'
22.4612 	EXP 	other_box: fillColor = '#FFFCA6'
22.4777 	EXP 	self_box: fillColor = '#A6A9FF'
22.4777 	EXP 	other_box: fillColor = '#FFFCA6'
22.4944 	EXP 	self_box: fillColor = '#A6A9FF'
22.4944 	EXP 	other_box: fillColor = '#FFFCA6'
22.5111 	EXP 	self_box: fillColor = '#A6A9FF'
22.5111 	EXP 	other_box: fillColor = '#FFFCA6'
22.5278 	EXP 	self_box: fillColor = '#A6A9FF'
22.5278 	EXP 	other_box: fillColor = '#FFFCA6'
22.5446 	EXP 	self_box: fillColor = '#A6A9FF'
22.5446 	EXP 	other_box: fillColor = '#FFFCA6'
22.5613 	EXP 	self_box: fillColor = '#A6A9FF'
22.5613 	EXP 	other_box: fillColor = '#FFFCA6'
22.5779 	EXP 	self_box: fillColor = '#A6A9FF'
22.5779 	EXP 	other_box: fillColor = '#FFFCA6'
22.5946 	EXP 	self_box: fillColor = '#A6A9FF'
22.5946 	EXP 	other_box: fillColor = '#FFFCA6'
22.6113 	EXP 	self_box: fillColor = '#A6A9FF'
22.6113 	EXP 	other_box: fillColor = '#FFFCA6'
22.6279 	EXP 	self_box: fillColor = '#A6A9FF'
22.6279 	EXP 	other_box: fillColor = '#FFFCA6'
22.6446 	EXP 	self_box: fillColor = '#A6A9FF'
22.6446 	EXP 	other_box: fillColor = '#FFFCA6'
22.6614 	EXP 	self_box: fillColor = '#A6A9FF'
22.6614 	EXP 	other_box: fillColor = '#FFFCA6'
22.6780 	EXP 	self_box: fillColor = '#A6A9FF'
22.6780 	EXP 	other_box: fillColor = '#FFFCA6'
22.6947 	EXP 	self_box: fillColor = '#A6A9FF'
22.6947 	EXP 	other_box: fillColor = '#FFFCA6'
