77.6585 	WARNING 	Movie2 stim could not be imported and won't be available
89.4783 	EXP 	other_box: fillColor = '#FFFCA6'
89.4950 	EXP 	self_box: fillColor = '#A6A9FF'
89.4950 	EXP 	other_box: fillColor = '#FFFCA6'
89.5117 	EXP 	self_box: fillColor = '#A6A9FF'
89.5117 	EXP 	other_box: fillColor = '#FFFCA6'
89.5284 	EXP 	self_box: fillColor = '#A6A9FF'
89.5284 	EXP 	other_box: fillColor = '#FFFCA6'
89.5451 	EXP 	self_box: fillColor = '#A6A9FF'
89.5451 	EXP 	other_box: fillColor = '#FFFCA6'
89.5618 	EXP 	self_box: fillColor = '#A6A9FF'
89.5618 	EXP 	other_box: fillColor = '#FFFCA6'
89.5785 	EXP 	self_box: fillColor = '#A6A9FF'
89.5785 	EXP 	other_box: fillColor = '#FFFCA6'
89.5952 	EXP 	self_box: fillColor = '#A6A9FF'
89.5952 	EXP 	other_box: fillColor = '#FFFCA6'
89.6120 	EXP 	self_box: fillColor = '#A6A9FF'
89.6120 	EXP 	other_box: fillColor = '#FFFCA6'
89.6286 	EXP 	self_box: fillColor = '#A6A9FF'
89.6286 	EXP 	other_box: fillColor = '#FFFCA6'
89.6453 	EXP 	self_box: fillColor = '#A6A9FF'
89.6453 	EXP 	other_box: fillColor = '#FFFCA6'
89.6619 	EXP 	self_box: fillColor = '#A6A9FF'
89.6619 	EXP 	other_box: fillColor = '#FFFCA6'
89.6787 	EXP 	self_box: fillColor = '#A6A9FF'
89.6787 	EXP 	other_box: fillColor = '#FFFCA6'
89.6953 	EXP 	self_box: fillColor = '#A6A9FF'
89.6953 	EXP 	other_box: fillColor = '#FFFCA6'
89.7121 	EXP 	self_box: fillColor = '#A6A9FF'
89.7121 	EXP 	other_box: fillColor = '#FFFCA6'
89.7288 	EXP 	self_box: fillColor = '#A6A9FF'
89.7288 	EXP 	other_box: fillColor = '#FFFCA6'
89.7455 	EXP 	self_box: fillColor = '#A6A9FF'
89.7455 	EXP 	other_box: fillColor = '#FFFCA6'
89.7620 	EXP 	self_box: fillColor = '#A6A9FF'
89.7620 	EXP 	other_box: fillColor = '#FFFCA6'
89.7789 	EXP 	self_box: fillColor = '#A6A9FF'
89.7789 	EXP 	other_box: fillColor = '#FFFCA6'
89.7954 	EXP 	self_box: fillColor = '#A6A9FF'
89.7954 	EXP 	other_box: fillColor = '#FFFCA6'
89.8121 	EXP 	self_box: fillColor = '#A6A9FF'
89.8121 	EXP 	other_box: fillColor = '#FFFCA6'
89.8288 	EXP 	self_box: fillColor = '#A6A9FF'
89.8288 	EXP 	other_box: fillColor = '#FFFCA6'
89.8454 	EXP 	self_box: fillColor = '#A6A9FF'
89.8454 	EXP 	other_box: fillColor = '#FFFCA6'
89.8621 	EXP 	self_box: fillColor = '#A6A9FF'
89.8621 	EXP 	other_box: fillColor = '#FFFCA6'
89.8788 	EXP 	self_box: fillColor = '#A6A9FF'
89.8788 	EXP 	other_box: fillColor = '#FFFCA6'
89.8956 	EXP 	self_box: fillColor = '#A6A9FF'
89.8956 	EXP 	other_box: fillColor = '#FFFCA6'
89.9123 	EXP 	self_box: fillColor = '#A6A9FF'
89.9123 	EXP 	other_box: fillColor = '#FFFCA6'
89.9290 	EXP 	self_box: fillColor = '#A6A9FF'
89.9290 	EXP 	other_box: fillColor = '#FFFCA6'
89.9456 	EXP 	self_box: fillColor = '#A6A9FF'
89.9456 	EXP 	other_box: fillColor = '#FFFCA6'
89.9624 	EXP 	self_box: fillColor = '#A6A9FF'
89.9624 	EXP 	other_box: fillColor = '#FFFCA6'
89.9792 	EXP 	self_box: fillColor = '#A6A9FF'
89.9792 	EXP 	other_box: fillColor = '#FFFCA6'
89.9958 	EXP 	self_box: fillColor = '#A6A9FF'
89.9958 	EXP 	other_box: fillColor = '#FFFCA6'
90.0124 	EXP 	self_box: fillColor = '#A6A9FF'
90.0124 	EXP 	other_box: fillColor = '#FFFCA6'
90.0293 	EXP 	self_box: fillColor = '#A6A9FF'
90.0293 	EXP 	other_box: fillColor = '#FFFCA6'
90.0459 	EXP 	self_box: fillColor = '#A6A9FF'
90.0459 	EXP 	other_box: fillColor = '#FFFCA6'
90.0625 	EXP 	self_box: fillColor = '#A6A9FF'
90.0625 	EXP 	other_box: fillColor = '#FFFCA6'
90.0792 	EXP 	self_box: fillColor = '#A6A9FF'
90.0792 	EXP 	other_box: fillColor = '#FFFCA6'
90.0959 	EXP 	self_box: fillColor = '#A6A9FF'
90.0959 	EXP 	other_box: fillColor = '#FFFCA6'
90.1127 	EXP 	self_box: fillColor = '#A6A9FF'
90.1127 	EXP 	other_box: fillColor = '#FFFCA6'
90.1294 	EXP 	self_box: fillColor = '#A6A9FF'
90.1294 	EXP 	other_box: fillColor = '#FFFCA6'
90.1459 	EXP 	self_box: fillColor = '#A6A9FF'
90.1459 	EXP 	other_box: fillColor = '#FFFCA6'
90.1627 	EXP 	self_box: fillColor = '#A6A9FF'
90.1627 	EXP 	other_box: fillColor = '#FFFCA6'
90.1794 	EXP 	self_box: fillColor = '#A6A9FF'
90.1794 	EXP 	other_box: fillColor = '#FFFCA6'
90.1961 	EXP 	self_box: fillColor = '#A6A9FF'
90.1961 	EXP 	other_box: fillColor = '#FFFCA6'
90.2128 	EXP 	self_box: fillColor = '#A6A9FF'
90.2128 	EXP 	other_box: fillColor = '#FFFCA6'
90.2295 	EXP 	self_box: fillColor = '#A6A9FF'
90.2295 	EXP 	other_box: fillColor = '#FFFCA6'
90.2462 	EXP 	self_box: fillColor = '#A6A9FF'
90.2462 	EXP 	other_box: fillColor = '#FFFCA6'
90.2628 	EXP 	self_box: fillColor = '#A6A9FF'
90.2628 	EXP 	other_box: fillColor = '#FFFCA6'
90.2795 	EXP 	self_box: fillColor = '#A6A9FF'
90.2795 	EXP 	other_box: fillColor = '#FFFCA6'
90.2963 	EXP 	self_box: fillColor = '#A6A9FF'
90.2963 	EXP 	other_box: fillColor = '#FFFCA6'
90.3130 	EXP 	self_box: fillColor = '#A6A9FF'
