44.3667 	WARNING 	Movie2 stim could not be imported and won't be available
45.4003 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([-1., -1., -1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xfa3b1e8>, name='window1', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
45.4004 	EXP 	window1: recordFrameIntervals = False
45.5643 	EXP 	window1: recordFrameIntervals = True
45.7479 	EXP 	window1: recordFrameIntervals = False
45.8365 	EXP 	Created text_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_4', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Instructions will go here.', units=u'norm', win=Window(...), wrapWidth=1)
46.8656 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
46.8881 	EXP 	Created question = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='question', opacity=1.0, ori=0, pos=array([ 0. ,  0.5]), rgb=array([ 255.,  255.,  255.]), text=u'Whose voice did you hear?', units=u'norm', win=Window(...), wrapWidth=2)
46.8889 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0xf971dd0>: vertices = array([[-0.25,  0.25],
       [ 0.25,  0.25],
       [ 0.25, -0.25],
       [-0.25, -0.25]])
46.8913 	EXP 	Created self_box = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor='#A6A9FF', fillColorSpace='hex', fillRGB=array([166, 169, 255]), interpolate=True, lineColor='#3E45FA', lineColorSpace='hex', lineRGB=array([ 62,  69, 250]), lineWidth=5, name='self_box', opacity=1.0, ori=array(0.0), pos=array([-0.5, -0.5]), size=array([ 1.,  1.]), units=u'norm', vertices=ndarray(...), win=Window(...))
46.8970 	EXP 	Created self_label = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='self_label', opacity=1.0, ori=0, pos=array([-0.5, -0.5]), rgb=array([ 0.,  0.,  0.]), text=u'Mine', units=u'norm', win=Window(...), wrapWidth=1)
46.8977 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0xf971dd0>: vertices = array([[-0.25,  0.25],
       [ 0.25,  0.25],
       [ 0.25, -0.25],
       [-0.25, -0.25]])
46.9011 	EXP 	Created other_box = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor='#FFFCA6', fillColorSpace='hex', fillRGB=array([255, 252, 166]), interpolate=True, lineColor='#FAF33E', lineColorSpace='hex', lineRGB=array([250, 243,  62]), lineWidth=5, name='other_box', opacity=1.0, ori=array(0.0), pos=array([ 0.5, -0.5]), size=array([ 1.,  1.]), units=u'norm', vertices=ndarray(...), win=Window(...))
46.9073 	EXP 	Created other_label = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='other_label', opacity=1.0, ori=0, pos=array([ 0.5, -0.5]), rgb=array([ 0.,  0.,  0.]), text=u'Other', units=u'norm', win=Window(...), wrapWidth=1)
46.9191 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Thank you for participating!', units=u'norm', win=Window(...), wrapWidth=1)
46.9256 	EXP 	Created results_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='results_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=2)
46.9329 	EXP 	text_4: autoDraw = True
51.9258 	EXP 	Imported /Volumes/Macintosh HD/Users/poppe076/Desktop/source_monitoring_task/data/ok_source_monitoring_2015_Feb_05_1443_wordlist.csv as conditions, 9 conditions, 5 params
51.9263 	EXP 	Created sequence: sequential, trialTypes=9, nReps=1, seed=None
52.0293 	EXP 	New trial (rep=0, index=0): {'word': u'word3.1', 'amount': u'2', 'list': u'list3', 'trialtype': u'pitch', 'trialtype_extended': u'pitch_higher_large'}
52.0410 	EXP 	text_4: autoDraw = False
52.0410 	EXP 	text_4: autoDraw = False
52.0410 	EXP 	text: text = u'word3.1'
53.0593 	EXP 	text: autoDraw = True
56.6819 	EXP 	text: autoDraw = False
56.6819 	EXP 	question: autoDraw = True
56.6819 	EXP 	self_box: autoDraw = True
56.6819 	EXP 	self_label: autoDraw = True
56.6819 	EXP 	other_box: autoDraw = True
56.6819 	EXP 	other_label: autoDraw = True
56.6819 	EXP 	self_box: fillColor = '#A6A9FF'
56.6819 	EXP 	other_box: fillColor = '#FFFCA6'
56.6985 	EXP 	self_box: fillColor = '#A6A9FF'
56.6985 	EXP 	other_box: fillColor = '#FFFCA6'
56.7152 	EXP 	self_box: fillColor = '#A6A9FF'
56.7152 	EXP 	other_box: fillColor = '#FFFCA6'
56.7318 	EXP 	self_box: fillColor = '#A6A9FF'
56.7318 	EXP 	other_box: fillColor = '#FFFCA6'
56.7486 	EXP 	self_box: fillColor = '#A6A9FF'
56.7486 	EXP 	other_box: fillColor = '#FFFCA6'
56.7652 	EXP 	self_box: fillColor = '#A6A9FF'
56.7652 	EXP 	other_box: fillColor = '#FFFCA6'
56.7818 	EXP 	self_box: fillColor = '#A6A9FF'
56.7818 	EXP 	other_box: fillColor = '#FFFCA6'
56.7985 	EXP 	self_box: fillColor = '#A6A9FF'
56.7985 	EXP 	other_box: fillColor = '#FFFCA6'
56.8153 	EXP 	self_box: fillColor = '#A6A9FF'
56.8153 	EXP 	other_box: fillColor = '#FFFCA6'
56.8321 	EXP 	self_box: fillColor = '#A6A9FF'
56.8321 	EXP 	other_box: fillColor = '#FFFCA6'
56.8489 	EXP 	self_box: fillColor = '#A6A9FF'
56.8489 	EXP 	other_box: fillColor = '#FFFCA6'
56.8655 	EXP 	self_box: fillColor = '#A6A9FF'
56.8655 	EXP 	other_box: fillColor = '#FFFCA6'
56.8822 	EXP 	self_box: fillColor = '#A6A9FF'
56.8822 	EXP 	other_box: fillColor = '#FFFCA6'
56.8989 	EXP 	self_box: fillColor = '#A6A9FF'
56.8989 	EXP 	other_box: fillColor = '#FFFCA6'
56.9156 	EXP 	self_box: fillColor = '#A6A9FF'
56.9156 	EXP 	other_box: fillColor = '#FFFCA6'
56.9322 	EXP 	self_box: fillColor = '#A6A9FF'
56.9322 	EXP 	other_box: fillColor = '#FFFCA6'
56.9488 	EXP 	self_box: fillColor = '#A6A9FF'
56.9488 	EXP 	other_box: fillColor = '#FFFCA6'
56.9655 	EXP 	self_box: fillColor = '#A6A9FF'
56.9655 	EXP 	other_box: fillColor = '#FFFCA6'
56.9822 	EXP 	self_box: fillColor = '#A6A9FF'
56.9822 	EXP 	other_box: fillColor = '#FFFCA6'
56.9989 	EXP 	self_box: fillColor = '#A6A9FF'
56.9989 	EXP 	other_box: fillColor = '#FFFCA6'
57.0157 	EXP 	self_box: fillColor = '#A6A9FF'
57.0157 	EXP 	other_box: fillColor = '#FFFCA6'
57.0323 	EXP 	self_box: fillColor = '#A6A9FF'
57.0323 	EXP 	other_box: fillColor = '#FFFCA6'
57.0492 	EXP 	self_box: fillColor = '#A6A9FF'
57.0492 	EXP 	other_box: fillColor = '#FFFCA6'
57.0658 	EXP 	self_box: fillColor = '#A6A9FF'
57.0658 	EXP 	other_box: fillColor = '#FFFCA6'
57.0825 	EXP 	self_box: fillColor = '#A6A9FF'
57.0825 	EXP 	other_box: fillColor = '#FFFCA6'
57.0992 	EXP 	self_box: fillColor = '#A6A9FF'
57.0992 	EXP 	other_box: fillColor = '#FFFCA6'
57.1157 	EXP 	self_box: fillColor = '#A6A9FF'
57.1157 	EXP 	other_box: fillColor = '#FFFCA6'
57.1324 	EXP 	self_box: fillColor = '#A6A9FF'
57.1324 	EXP 	other_box: fillColor = '#FFFCA6'
57.1491 	EXP 	self_box: fillColor = '#A6A9FF'
57.1491 	EXP 	other_box: fillColor = '#FFFCA6'
57.1660 	EXP 	self_box: fillColor = '#A6A9FF'
57.1660 	EXP 	other_box: fillColor = '#FFFCA6'
57.1827 	EXP 	self_box: fillColor = '#A6A9FF'
57.1827 	EXP 	other_box: fillColor = '#FFFCA6'
57.1994 	EXP 	self_box: fillColor = '#A6A9FF'
57.1994 	EXP 	other_box: fillColor = '#FFFCA6'
57.2160 	EXP 	self_box: fillColor = '#A6A9FF'
57.2160 	EXP 	other_box: fillColor = '#FFFCA6'
57.2328 	EXP 	self_box: fillColor = '#A6A9FF'
57.2328 	EXP 	other_box: fillColor = '#FFFCA6'
57.2495 	EXP 	self_box: fillColor = '#A6A9FF'
57.2495 	EXP 	other_box: fillColor = '#FFFCA6'
57.2662 	EXP 	self_box: fillColor = '#A6A9FF'
57.2662 	EXP 	other_box: fillColor = '#FFFCA6'
57.2828 	EXP 	self_box: fillColor = '#A6A9FF'
57.2828 	EXP 	other_box: fillColor = '#FFFCA6'
57.2994 	EXP 	self_box: fillColor = '#A6A9FF'
57.2994 	EXP 	other_box: fillColor = '#FFFCA6'
57.3161 	EXP 	self_box: fillColor = '#A6A9FF'
57.3161 	EXP 	other_box: fillColor = '#FFFCA6'
57.3328 	EXP 	self_box: fillColor = '#A6A9FF'
57.3328 	EXP 	other_box: fillColor = '#FFFCA6'
57.3496 	EXP 	self_box: fillColor = '#A6A9FF'
57.3496 	EXP 	other_box: fillColor = '#FFFCA6'
57.3664 	EXP 	self_box: fillColor = '#A6A9FF'
57.3664 	EXP 	other_box: fillColor = '#FFFCA6'
57.3830 	EXP 	self_box: fillColor = '#A6A9FF'
57.3830 	EXP 	other_box: fillColor = '#FFFCA6'
57.3998 	EXP 	self_box: fillColor = '#A6A9FF'
57.3998 	EXP 	other_box: fillColor = '#FFFCA6'
57.4164 	EXP 	self_box: fillColor = '#A6A9FF'
57.4164 	EXP 	other_box: fillColor = '#FFFCA6'
57.4330 	EXP 	self_box: fillColor = '#A6A9FF'
57.4330 	EXP 	other_box: fillColor = '#FFFCA6'
57.4498 	EXP 	self_box: fillColor = '#A6A9FF'
57.4498 	EXP 	other_box: fillColor = '#FFFCA6'
57.4663 	EXP 	self_box: fillColor = '#A6A9FF'
57.4663 	EXP 	other_box: fillColor = '#FFFCA6'
57.4830 	EXP 	self_box: fillColor = '#A6A9FF'
57.4830 	EXP 	other_box: fillColor = '#FFFCA6'
57.4997 	EXP 	self_box: fillColor = '#A6A9FF'
57.4997 	EXP 	other_box: fillColor = '#FFFCA6'
57.5166 	EXP 	self_box: fillColor = '#A6A9FF'
57.5166 	EXP 	other_box: fillColor = '#FFFCA6'
57.5332 	EXP 	self_box: fillColor = '#A6A9FF'
57.5332 	EXP 	other_box: fillColor = '#FFFCA6'
57.5499 	EXP 	self_box: fillColor = '#A6A9FF'
57.5499 	EXP 	other_box: fillColor = '#FFFCA6'
57.5666 	EXP 	self_box: fillColor = '#A6A9FF'
57.5666 	EXP 	other_box: fillColor = '#FFFCA6'
57.5833 	EXP 	self_box: fillColor = '#A6A9FF'
57.5833 	EXP 	other_box: fillColor = '#FFFCA6'
57.5999 	EXP 	self_box: fillColor = '#A6A9FF'
57.5999 	EXP 	other_box: fillColor = '#FFFCA6'
57.6167 	EXP 	self_box: fillColor = '#A6A9FF'
57.6167 	EXP 	other_box: fillColor = '#FFFCA6'
57.6333 	EXP 	self_box: fillColor = '#A6A9FF'
57.6333 	EXP 	other_box: fillColor = '#FFFCA6'
57.6499 	EXP 	self_box: fillColor = '#A6A9FF'
57.6499 	EXP 	other_box: fillColor = '#FFFCA6'
57.6666 	EXP 	self_box: fillColor = '#A6A9FF'
57.6666 	EXP 	other_box: fillColor = '#FFFCA6'
57.6834 	EXP 	self_box: fillColor = '#A6A9FF'
57.6834 	EXP 	other_box: fillColor = '#FFFCA6'
57.7001 	EXP 	self_box: fillColor = '#A6A9FF'
57.7001 	EXP 	other_box: fillColor = '#FFFCA6'
57.7168 	EXP 	self_box: fillColor = '#A6A9FF'
57.7168 	EXP 	other_box: fillColor = '#FFFCA6'
57.7335 	EXP 	self_box: fillColor = '#A6A9FF'
57.7335 	EXP 	other_box: fillColor = '#FFFCA6'
57.7501 	EXP 	self_box: fillColor = '#A6A9FF'
57.7501 	EXP 	other_box: fillColor = '#FFFCA6'
57.7669 	EXP 	self_box: fillColor = '#A6A9FF'
57.7669 	EXP 	other_box: fillColor = '#FFFCA6'
57.7835 	EXP 	self_box: fillColor = '#A6A9FF'
57.7835 	EXP 	other_box: fillColor = '#FFFCA6'
57.8001 	EXP 	self_box: fillColor = '#A6A9FF'
57.8001 	EXP 	other_box: fillColor = '#FFFCA6'
57.8169 	EXP 	self_box: fillColor = '#A6A9FF'
57.8169 	EXP 	other_box: fillColor = '#FFFCA6'
