4.4593 	WARNING 	Movie2 stim could not be imported and won't be available
5.4697 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([-1., -1., -1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xefd9ad0>, name='window1', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.4697 	EXP 	window1: recordFrameIntervals = False
5.6350 	EXP 	window1: recordFrameIntervals = True
5.8190 	EXP 	window1: recordFrameIntervals = False
5.9063 	EXP 	Created text_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_4', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Instructions will go here.', units=u'norm', win=Window(...), wrapWidth=1)
6.9453 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
6.9566 	EXP 	Created question = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='question', opacity=1.0, ori=0, pos=array([ 0. ,  0.5]), rgb=array([ 255.,  255.,  255.]), text=u'Whose voice did you hear?', units=u'norm', win=Window(...), wrapWidth=2)
6.9572 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0xd7d3ad0>: vertices = array([[-0.25,  0.25],
       [ 0.25,  0.25],
       [ 0.25, -0.25],
       [-0.25, -0.25]])
6.9593 	EXP 	Created self_box = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor='#A6A9FF', fillColorSpace='hex', fillRGB=array([166, 169, 255]), interpolate=True, lineColor='#3E45FA', lineColorSpace='hex', lineRGB=array([ 62,  69, 250]), lineWidth=5, name='self_box', opacity=1.0, ori=array(0.0), pos=array([-0.5, -0.5]), size=array([ 1.,  1.]), units=u'norm', vertices=ndarray(...), win=Window(...))
6.9690 	EXP 	Created self_label = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='self_label', opacity=1.0, ori=0, pos=array([-0.5, -0.5]), rgb=array([ 0.,  0.,  0.]), text=u'Mine', units=u'norm', win=Window(...), wrapWidth=1)
6.9699 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0xd7d3ad0>: vertices = array([[-0.25,  0.25],
       [ 0.25,  0.25],
       [ 0.25, -0.25],
       [-0.25, -0.25]])
6.9734 	EXP 	Created other_box = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor='#FFFCA6', fillColorSpace='hex', fillRGB=array([255, 252, 166]), interpolate=True, lineColor='#FAF33E', lineColorSpace='hex', lineRGB=array([250, 243,  62]), lineWidth=5, name='other_box', opacity=1.0, ori=array(0.0), pos=array([ 0.5, -0.5]), size=array([ 1.,  1.]), units=u'norm', vertices=ndarray(...), win=Window(...))
6.9792 	EXP 	Created other_label = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='other_label', opacity=1.0, ori=0, pos=array([ 0.5, -0.5]), rgb=array([ 0.,  0.,  0.]), text=u'Other', units=u'norm', win=Window(...), wrapWidth=1)
6.9914 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Thank you for participating!', units=u'norm', win=Window(...), wrapWidth=1)
6.9978 	EXP 	Created results_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='results_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=2)
7.0038 	EXP 	text_4: autoDraw = True
11.9981 	EXP 	Imported /Volumes/Macintosh HD/Users/poppe076/Desktop/source_monitoring_task/data/ok_source_monitoring_2015_Feb_05_1440_wordlist.csv as conditions, 9 conditions, 5 params
11.9992 	EXP 	Created sequence: sequential, trialTypes=9, nReps=1, seed=None
12.1133 	EXP 	New trial (rep=0, index=0): {'word': u'word5.1', 'amount': u'0.8', 'list': u'list5', 'trialtype': u'speed', 'trialtype_extended': u'slow_medium'}
12.1287 	EXP 	text_4: autoDraw = False
12.1287 	EXP 	text_4: autoDraw = False
12.1287 	EXP 	text: text = u'word5.1'
13.1302 	EXP 	text: autoDraw = True
15.3506 	EXP 	text: autoDraw = False
15.3506 	EXP 	question: autoDraw = True
15.3506 	EXP 	self_box: autoDraw = True
15.3506 	EXP 	self_label: autoDraw = True
15.3506 	EXP 	other_box: autoDraw = True
15.3506 	EXP 	other_label: autoDraw = True
15.3506 	EXP 	self_box: fillColor = '#A6A9FF'
15.3506 	EXP 	other_box: fillColor = '#FFFCA6'
15.3672 	EXP 	self_box: fillColor = '#A6A9FF'
15.3672 	EXP 	other_box: fillColor = '#FFFCA6'
15.3838 	EXP 	self_box: fillColor = '#A6A9FF'
15.3838 	EXP 	other_box: fillColor = '#FFFCA6'
15.4006 	EXP 	self_box: fillColor = '#A6A9FF'
15.4006 	EXP 	other_box: fillColor = '#FFFCA6'
15.4173 	EXP 	self_box: fillColor = '#A6A9FF'
15.4173 	EXP 	other_box: fillColor = '#FFFCA6'
15.4340 	EXP 	self_box: fillColor = '#A6A9FF'
15.4340 	EXP 	other_box: fillColor = '#FFFCA6'
15.4506 	EXP 	self_box: fillColor = '#A6A9FF'
15.4506 	EXP 	other_box: fillColor = '#FFFCA6'
15.4674 	EXP 	self_box: fillColor = '#A6A9FF'
15.4674 	EXP 	other_box: fillColor = '#FFFCA6'
15.4841 	EXP 	self_box: fillColor = '#A6A9FF'
15.4841 	EXP 	other_box: fillColor = '#FFFCA6'
15.5008 	EXP 	self_box: fillColor = '#A6A9FF'
15.5008 	EXP 	other_box: fillColor = '#FFFCA6'
15.5174 	EXP 	self_box: fillColor = '#A6A9FF'
15.5174 	EXP 	other_box: fillColor = '#FFFCA6'
15.5342 	EXP 	self_box: fillColor = '#A6A9FF'
15.5342 	EXP 	other_box: fillColor = '#FFFCA6'
15.5507 	EXP 	self_box: fillColor = '#A6A9FF'
15.5507 	EXP 	other_box: fillColor = '#FFFCA6'
15.5676 	EXP 	self_box: fillColor = '#A6A9FF'
15.5676 	EXP 	other_box: fillColor = '#FFFCA6'
15.5843 	EXP 	self_box: fillColor = '#A6A9FF'
15.5843 	EXP 	other_box: fillColor = '#FFFCA6'
15.6009 	EXP 	self_box: fillColor = '#A6A9FF'
