42.0092 	EXP 	other_box: fillColor = '#FFFCA6'
42.0268 	EXP 	self_box: fillColor = '#A6A9FF'
42.0268 	EXP 	other_box: fillColor = '#FFFCA6'
42.0458 	EXP 	self_box: fillColor = '#A6A9FF'
42.0458 	EXP 	other_box: fillColor = '#FFFCA6'
42.0654 	EXP 	self_box: fillColor = '#A6A9FF'
42.0654 	EXP 	other_box: fillColor = '#FFFCA6'
42.0760 	EXP 	self_box: fillColor = '#A6A9FF'
42.0760 	EXP 	other_box: fillColor = '#FFFCA6'
42.0936 	EXP 	self_box: fillColor = '#A6A9FF'
42.0936 	EXP 	other_box: fillColor = '#FFFCA6'
42.1139 	EXP 	self_box: fillColor = '#A6A9FF'
42.1139 	EXP 	other_box: fillColor = '#FFFCA6'
42.1316 	EXP 	self_box: fillColor = '#A6A9FF'
42.1316 	EXP 	other_box: fillColor = '#FFFCA6'
42.1437 	EXP 	self_box: fillColor = '#A6A9FF'
42.1437 	EXP 	other_box: fillColor = '#FFFCA6'
42.1594 	EXP 	self_box: fillColor = '#A6A9FF'
42.1594 	EXP 	other_box: fillColor = '#FFFCA6'
42.1764 	EXP 	self_box: fillColor = '#A6A9FF'
42.1764 	EXP 	other_box: fillColor = '#FFFCA6'
42.1930 	EXP 	self_box: fillColor = '#A6A9FF'
42.1930 	EXP 	other_box: fillColor = '#FFFCA6'
42.2097 	EXP 	self_box: fillColor = '#A6A9FF'
42.2097 	EXP 	other_box: fillColor = '#FFFCA6'
42.2308 	EXP 	self_box: fillColor = '#A6A9FF'
42.2308 	EXP 	other_box: fillColor = '#FFFCA6'
42.2490 	EXP 	self_box: fillColor = '#A6A9FF'
42.2490 	EXP 	other_box: fillColor = '#FFFCA6'
42.2596 	EXP 	self_box: fillColor = '#A6A9FF'
42.2596 	EXP 	other_box: fillColor = '#FFFCA6'
42.2768 	EXP 	self_box: fillColor = '#A6A9FF'
42.2768 	EXP 	other_box: fillColor = '#FFFCA6'
42.2956 	EXP 	self_box: fillColor = '#A6A9FF'
42.2956 	EXP 	other_box: fillColor = '#FFFCA6'
42.3151 	EXP 	self_box: fillColor = '#A6A9FF'
42.3151 	EXP 	other_box: fillColor = '#FFFCA6'
42.3272 	EXP 	self_box: fillColor = '#A6A9FF'
42.3272 	EXP 	other_box: fillColor = '#FFFCA6'
42.3431 	EXP 	self_box: fillColor = '#A6A9FF'
42.3431 	EXP 	other_box: fillColor = '#FFFCA6'
42.3609 	EXP 	self_box: fillColor = '#A6A9FF'
42.3609 	EXP 	other_box: fillColor = '#FFFCA6'
42.3810 	EXP 	self_box: fillColor = '#A6A9FF'
42.3810 	EXP 	other_box: fillColor = '#FFFCA6'
42.3986 	EXP 	self_box: fillColor = '#A6A9FF'
