Rank,Word,Word,Source Monitoring,Source Memory,Part of speech,Frequency,Dispersion,imagery,imagSD,concrete,conSD,categor,catSD,meaning,meanSD,familiar,famSD,NOAttr,NOAsd,pleasant,pleaSD
1026,gas,gas,,2,n1,38194,0.96,5.41,1.81,5.5,1.73,5.88,1.31,4.38,1.78,6.5,1.1,4.3,2.01,3.8,1.40M
2026,gate,gate,,3,n1,17999,0.94,5.39,1.76,5.69,1.86,5.13,1.85,4.44,1.67,6.18,1.39,3.25,1.48,3.89,1.44
3292,ghost,ghost, ,4,n1,9564,0.91,5.72,1.6,4.25,2.21,4.98,1.91,4.36,1.91,6.17,1.49,3.73,1.82,3.62,1.58
1389,gift,gift,1,,n1,27050,0.96,5.42,1.64,5.36,1.96,5.17,1.61,5.15,1.4,6.46,1.01,4.83,2.11,5.49,1.4
364,girl,girl,2,,n1,110409,0.93,6.31,1.2,6.05,1.96,6.13,1.63,5.87,1.63,6.85,0.48,5.22,2,5.2,1.68M
823,glass,glass,3,,n1,49686,0.91,5.79,1.53,6.31,1.32,5.65,1.69,4.94,1.59,6.85,0.4,3.97,1.91,4.61,1.42
4787,globe,globe,4,,n1,5166,0.96,5.7,1.96,5.57,1.85,4.98,1.73,4.52,1.65,5.75,1.54,4.24,1.97,4.97,1.30M
4726,goat,goat,5,,n1,5459,0.93,5.79,1.61,6.32,1.61,6.18,1.55,4.02,1.75,5.61,1.76,3.9,1.88,3.98,1.3
1815,golf,golf,6,,n1,20979,0.91,5.7,1.66,5.68,1.78,5.67,1.91,4.56,2.01,6.03,1.56,3.94,2.07,5.27,1.54M
2280,good,good,7,,n1,15259,0.94,3.89,2.12,2.93,1.96,3.78,1.99,5.55,1.71,6.66,0.95,4.41,2.04,5.35,1.38
3707,grace,grace,8,,n1,7634,0.95,4.35,2.17,3.1,1.75,3.62,2.02,3.89,1.74,5.52,1.64,3.35,1.57,4.74,1.55
4818,grape,grape,9,,n1,5318,0.92,5.86,1.62,5.85,1.94,6.07,1.54,4.03,1.89,6.35,1.25,3.32,1.63,4.9,1.4
603,hair,hair,,1,n1,69564,0.89,5.74,1.79,5.79,1.98,5.74,1.59,4.55,1.96,6.49,1.17,4.45,1.97,4.74,1.49
